instrument_token,exchange_token,tradingsymbol,name,segment
130847236,511122,1STCUS,FIRST CUSTODIAN FUND (INDIA) L,BSE
4331777,16921,20MICRONS,20 MICRONS,NSE
1025,4,21STCENMGM,21ST CENTURY MGMT SERVICE,NSE
3014145,11774,3IINFOTECH,3I INFOTECH.,NSE
121345,474,3MINDIA,3M INDIA,NSE
664321,2595,3PLAND,3P LAND HOLDINGS,NSE
136295172,532403,4THGEN,FOURTH GENERATION INFORMATION,BSE
113921,445,5PAISA,5PAISA CAPITAL,NSE
3038977,11871,63MOONS-BE,63 MOONS TECHNOLOGIES,NSE
138397444,540615,7NR,7NR RETAIL ,BSE
136295428,532404,7TEC,SAVEN TECHNOLOGIES.,BSE
5351937,20906,A2ZINFRA,A2Z INFRA ENGINEERING,NSE
135838980,530621,AAIL,AKAR AUTO INDUSTRIES ,BSE
60161,235,AAKASH,AAKASH EXPLORATION SER L,NSE
138008580,539096,AANANDALAK,AANANDA LAKSHMI SPINNING MILLS,BSE
137935876,538812,AANCHALISP,AANCHAL ISPAT ,BSE
138145796,539632,AARCOM,AAR COMMERCIAL COMPANY,BSE
138127876,539562,AARNAV,AARNAV FASHIONS,BSE
263681,1030,AARON,AARON INDUSTRIES,NSE
138848516,542377,AARSHYAM,AAR SHYAM INDIA INVESTMENT COM,BSE
1147137,4481,AARTIDRUGS,AARTI DRUGS.,NSE
1793,7,AARTIIND,AARTI INDUSTRIES,NSE
4923649,19233,AARTISURF,AARTI SURFACTANTS,NSE
3526401,13775,AARVEEDEN-BE,AARVEE DEN. & EXP.,NSE
4882689,19073,AARVI,AARVI ENCON,NSE
1378561,5385,AAVAS,AAVAS FINANCIERS,NSE
138119172,539528,AAYUSH,AAYUSH FOOD AND HERBS ,BSE
2561,10,ABAN,ABAN OFFSHORE.,NSE
131114244,512165,ABANSENT,ABANS ENTERPRISES,BSE
3329,13,ABB,ABB INDIA,NSE
4583169,17903,ABBOTINDIA,ABBOTT INDIA,NSE
5533185,21614,ABCAPITAL,ADITYA BIRLA CAPITAL.,NSE
131358468,513119,ABCGAS,ABC GAS (INTERNATIONAL).,BSE
133151492,520123,ABCINDQ,ABC INDIA.,BSE
7707649,30108,ABFRL,ADITYA BIRLA FASHION & RT,NSE
227877892,890148,ABFRLPP,ADITYA BIRLA FASHION AND RETAI,BSE
136206596,532057,ABHICAP,ABHINAV CAPITAL SERVICES.,BSE
137967364,538935,ABHIFIN,ABHISHEK FINLEASE ,BSE
138123268,539544,ABHIINFRA,ABHISHEK INFRAVENTURES ,BSE
138127364,539560,ABHIJIT,ABHIJIT TRADING CO..,BSE
4415745,17249,ABMINTLTD,ABM INTERNATIONAL,NSE
135977220,531161,ABMKNO,ABM KNOWLEDGEWARE.,BSE
3580673,13987,ABSLBANETF,BIRLASLAMC - ABSLBANETF,NSE
1878785,7339,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,NSE
135905540,530881,ABVL,ARUNJYOTI BIO VENTURES ,BSE
5633,22,ACC,ACC,NSE
132478468,517494,ACCEL,ACCEL,BSE
1805569,7053,ACCELYA,ACCELYA SOLN INDIA,NSE
375041,1465,ACCURACY,ACCURACY SHIPPING,NSE
3478273,13587,ACE,ACTION CONST EQUIP,NSE
138153220,539661,ACEMEN,ACE MEN ENGG WORKS,BSE
136070404,531525,ACESOFT,ACE SOFTWARE EXPORTS.,BSE
138530052,541133,ACFL,APEX CAPITAL AND FINANCE LIMIT,BSE
129289220,505036,ACGL,AUTOMOBILE CORPORATION OF GOA,BSE
132443140,517356,ACIIN,ACI INFOCOM.,BSE
135691012,530043,ACKNIT,ACKNIT INDUSTRIES.,BSE
138084100,539391,ACME,ACME RESOURCES ,BSE
131366148,513149,ACROW,ACROW INDIA.,BSE
481025,1879,ACRYSIL,ACRYSIL,NSE
6401,25,ADANIENT,ADANI ENTERPRISES,NSE
912129,3563,ADANIGREEN,ADANI GREEN ENERGY,NSE
3861249,15083,ADANIPORTS,ADANI PORT & SEZ,NSE
4451329,17388,ADANIPOWER,ADANI POWER,NSE
2615553,10217,ADANITRANS,ADANI TRANSMISSION,NSE
137872132,538563,ADARSH,ADARSH MERCANTILE,BSE
134838020,526711,ADARSHPL,ADARSH PLANT PROTECT.,BSE
133993220,523411,ADCINDIA,ADC INDIA COMMUNICATIONS LIMIT,BSE
138113540,539506,ADCON,ADCON CAPITAL SERVICES ,BSE
130010116,507852,ADDIND,ADDI INDUSTRIES.,BSE
5058817,19761,ADFFOODS,ADF FOODS,NSE
138110212,539493,ADHARSHILA,ADHARSHILA CAPITAL SERVICES LI,BSE
4481793,17507,ADHUNIKIND,ADHUNIK INDUSTRIES,NSE
136206340,532056,ADIEXRE,ADINATH EXIM RESOURCES.,BSE
131612932,514113,ADINATH,ADINATH TEXTILES.,BSE
136884996,534707,ADITRI,ADITRI INDUSTRIES,BSE
131459332,513513,ADITYA,ADITYA ISPAT.,BSE
133412100,521141,ADITYASP,ADITYA SPINNERS.,BSE
63489,248,ADL-BE,ARCHIDPLY DECOR,NSE
130907908,511359,ADMANUM,AD-MANUM FINANCE.,BSE
135790340,530431,ADORFO,ADOR FONTECH.,BSE
133918724,523120,ADORMUL,ADOR MULTIPRODUCTS.,BSE
8705,34,ADORWELD,ADOR WELDING,NSE
1267969,4953,ADROITINFO,ADROIT INFOTECH,NSE
3792129,14813,ADSL,ALLIED DIGITAL SERV.,NSE
3774721,14745,ADVANIHOTR,ADVANI HOT.& RES.(I),NSE
136045828,531429,ADVENT,ADVENT COMPUTER SERVICES.,BSE
4617985,18039,ADVENZYMES,ADVANCED ENZYME TECH,NSE
138181892,539773,ADVIKCA,ADVIK CAPITAL ,BSE
10241,40,AEGISCHEM,AEGIS LOGISTICS,NSE
128000772,500003,AEGISLOG,AEGIS LOGISTICS.,BSE
138034180,539196,AEL,AMBA ENTERPRISES.,BSE
137817860,538351,AFEL,A.F. ENTERPRISES,BSE
2903809,11343,AFFLE,AFFLE (INDIA),NSE
867585,3389,AGARIND,AGARWAL INDS CORP.,NSE
879361,3435,AGCNET,AGC NETWORKS,NSE
137994756,539042,AGIIL,AGI INFRA ,BSE
132101124,516020,AGIOPAPER,AGIO PAPER & INDUSTRIES.,BSE
2834433,11072,AGRITECH,AGRI-TECH (INDIA),NSE
2315777,9046,AGROPHOS,AGRO PHOS INDIA,NSE
513025,2004,AHLADA,AHLADA ENGINEERS,NSE
4976129,19438,AHLEAST,ASIAN HOTELS (EAST),NSE
4565249,17833,AHLUCONT,AHLUWALIA CONT IND,NSE
4957697,19366,AHLWEST,ASIAN HOTELS (WEST),NSE
133701892,522273,AHMDSTE,AHMEDABAD STEELCRAFT.,BSE
3350017,13086,AIAENG,AIA ENGINEERING,NSE
136398340,532806,AICHAMP,AI CHAMPDANY INDUSTRIES.,BSE
138886148,542524,AIHL,AMBASSADOR INTRA HOLDINGS LIMI,BSE
138029316,539177,AIIL,AUTHUM INVESTMENT & INFRASTRUC,BSE
134217732,524288,AIMCOPEST,AIMCO PESTICIDES.,BSE
136720388,534064,AIML,ALLIANCE INTEGRATED METALIKS L,BSE
138142724,539620,AINFRA,A INFRASTRUCTURE ,BSE
2533633,9897,AIRAN,AIRAN,NSE
2079745,8124,AJANTPHARM,AJANTA PHARMA,NSE
132919300,519216,AJANTSOY,AJANTA SOYA.,BSE
130993156,511692,AJCON,AJCON GLOBAL SERVICES.,BSE
131684868,514394,AJIL,ATLAS JEWELLERY INDIA,BSE
4430593,17307,AJMERA,AJMERA REALTY & INF I,NSE
871169,3403,AJOONI,AJOONI BIOTECH,NSE
3458561,13510,AKASH,AKASH INFRA-PROJECTS,NSE
137927172,538778,AKASHDEEP,AKASHDEEP METAL INDUSTRIES LIM,BSE
135807748,530499,AKCAPIT,A.K.CAPITAL SERVICES.,BSE
557057,2176,AKG,AKG EXIM,NSE
134297092,524598,AKSCHEM,AKSHARCHEM (INDIA).,BSE
5165569,20178,AKSHARCHEM,AKSHARCHEM INDIA,NSE
2199297,8591,AKSHOPTFBR,AKSH OPTIFIBRE,NSE
138060804,539300,AKSPINTEX,A.K. SPINTEX.,BSE
375553,1467,AKZOINDIA,AKZO NOBEL INDIA,NSE
2539777,9921,ALANKIT,ALANKIT,NSE
134163204,524075,ALBERTDA,ALBERT DAVID.,BSE
4417537,17256,ALBERTDAVD,ALBERT DAVID,NSE
136040708,531409,ALCHCORP,ALCHEMIST CORPORATION.,BSE
20225,79,ALEMBICLTD,ALEMBIC,NSE
130934532,511463,ALEXANDER,ALEXANDER STAMPS AND COIN LIMI,BSE
135929092,530973,ALFAICA,ALFA ICA (INDIA).,BSE
132491780,517546,ALFATRAN,ALFA TRANSFORMERS.,BSE
135975940,531156,ALFAVIO,ALFAVISION OVERSEAS (INDIA) LT,BSE
137971716,538952,ALFL,ABHINAV LEASING & FINANCE LIMI,BSE
129335300,505216,ALFREDHE,ALFRED HERBERT (INDIA).,BSE
3495937,13656,ALICON,ALICON CASTALLOY,NSE
135907588,530889,ALKA,ALKA INDIA.,BSE
4341505,16959,ALKALI,ALKALI METALS,NSE
2995969,11703,ALKEM,ALKEM LABORATORIES.,NSE
1148673,4487,ALKYLAMINE,ALKYL AMINES CHEM.,NSE
3456257,13501,ALLCARGO,ALLCARGO LOGISTICS,NSE
3020289,11798,ALLSEC,ALLSEC TECHNOLOGIES,NSE
4280065,16719,ALMONDZ,ALMONDZ GLOBAL SEC,NSE
4524801,17675,ALOKINDS,ALOK INDUSTRIES,NSE
133393924,521070,ALOKTEXT,ALOK INDUSTRIES.,BSE
3802113,14852,ALPA-BE,ALPA LABORATORIES,NSE
3736833,14597,ALPHAGEO,ALPHAGEO (INDIA),NSE
134788868,526519,ALPINEHOU,ALPINE HOUSING DEVELOPMENT COR,BSE
1039361,4060,ALPSINDUS,ALPS INDUSTRIES,NSE
138054916,539277,ALSTONE,ALSTONE TEXTILES (INDIA),BSE
134306308,524634,ALUFLUOR,ALUFLUORIDE.,BSE
129688836,506597,AMAL,AMAL.,BSE
128415236,501622,AMALGAM,AMALGAMATED ELECTRICITY CO.LTD,BSE
131074052,512008,AMANITRA,AMANI TRADING & EXPORTS.,BSE
25601,100,AMARAJABAT,AMARA RAJA BATTERIES.,NSE
136110340,531681,AMARDEE,AMRADEEP INDUSTRIES.,BSE
133400836,521097,AMARJOTHI,AMARJOTHI SPINNING MILLS.,BSE
137948932,538863,AMARNATH,SRI AMARNATH FINANCE,BSE
128002308,500009,AMBALALSA,AMBALAL SARABHAI ENTERPRISES L,BSE
132984580,519471,AMBARPIL,AMBAR PROTEIN INDUSTRIES LIMIT,BSE
303361,1185,AMBER,AMBER ENTERPRISES (I),NSE
2942977,11496,AMBICAAGAR,AMBICA AGAR & AROMAINDLTD,NSE
3899905,15234,AMBIKCO,AMBIKA COTTON MILL.,NSE
138041092,539223,AMBITION,AMBITION MICA ,BSE
325121,1270,AMBUJACEM,AMBUJA CEMENTS,NSE
135714052,530133,AMCOIND,AMCO INDIA.,BSE
3685889,14398,AMDIND,AMD INDUSTRIES,NSE
138418436,540697,AMFL,A & M FEBCON ,BSE
131357956,513117,AMFORG,AMFORGE INDUSTRIES.,BSE
138693380,541771,AMINTAN,AMIN TANNERY,BSE
136012804,531300,AMITINT,AMIT INTERNATIONAL.,BSE
665089,2598,AMJLAND,AMJ LAND HOLDINGS,NSE
129599492,506248,AMNPLST,AMINES & PLASTICIZERS.,BSE
136189700,531991,AMRAAGRI,AMRAWORLD AGRICO.,BSE
134717700,526241,AMRAPLIN,AMRAPALI INDUSTRIES.,BSE
129926404,507525,AMRITCORP,AMRIT CORP.LTD.,BSE
4492033,17547,AMRUTANJAN,AMRUTAJAN HEALTH,NSE
138256900,540066,AMS,AMS POLYMERS,BSE
136860676,534612,AMTL,ADVANCE METERING TECHNOLOGY LT,BSE
128417284,501630,ANANDPROJ,ANAND PROJECTS,BSE
3486721,13620,ANANTRAJ,ANANT RAJ,NSE
5227265,20419,ANDHRACEMT,ANDHRA CEMENTS,NSE
42497,166,ANDHRAPAP,ANDHRA PAPER,NSE
128003076,500012,ANDHRAPET,ANDHRA PETROCHEMICALS.,BSE
34817,136,ANDHRSUGAR,ANDHRA SUGARS,NSE
134700292,526173,ANDREWYU,ANDREW YULE & COMPANY.,BSE
136000516,531252,ANERI,ANERI FINCAP,BSE
82945,324,ANGELBRKG,ANGEL BROKING,NSE
4264193,16657,ANIKINDS,ANIK INDUSTRIES,NSE
135993092,531223,ANJANI,ANJANI SYNTHETICS.,BSE
136160772,531878,ANJANIFIN,ANJANI FINANCE.,BSE
130855172,511153,ANJANIFOODS,ANJANI FOODS ,BSE
136108292,531673,ANKIN,ANKA INDIA.,BSE
7534081,29430,ANKITMETAL,ANKIT MET & POW,NSE
135884548,530799,ANNAINFRA,ANNA INFRASTRUCTURES.,BSE
37889,148,ANSALAPI,ANSAL PROP & INFRA,NSE
133889796,523007,ANSALBU,ANSAL BUILDWELL.,BSE
3500289,13673,ANSALHSG,ANSAL HOUSING,NSE
136039940,531406,ANSINDUS,ANS INDUSTRIES,BSE
128325124,501270,ANTARIKSH,ANTARIKSH INDUSTRIES,BSE
137941252,538833,ANUBHAV,ANUBHAV INFRASTRUCTURE ,BSE
129602564,506260,ANUHPHR,ANUH PHARMA.,BSE
2307585,9014,ANUP,THE ANUP ENGINEERING,NSE
135707908,530109,ANUPAM,ANUPAM FINSERV,BSE
724225,2829,ANURAS,ANUPAM RASAYAN INDIA,NSE
2941697,11491,APARINDS,APAR INDUSTRIES.,NSE
5235969,20453,APCL,ANJANI PORTLAND CEM,NSE
39425,154,APCOTEXIND,APCOTEX INDUSTRIES LIMITE,NSE
5535489,21623,APEX,APEX FROZEN FOODS,NSE
